t,q,qd,tau_applied
4.786638975143433,0.0,0.0,0.0
4.791612386703491,0.0012991268967224865,0.4157138340204618,0.0
4.7962377071380615,0.004199959147201305,0.7896800967074895,0.0
4.80052375793457,0.008523596411879464,1.1203016933316199,0.0
4.805112838745117,0.014086157189911998,1.4065167428618612,0.0
4.810052871704102,0.02069914160355718,1.6472068421017738,0.0
4.8145833015441895,0.028171335110617333,1.8418848480494263,0.0
4.819045782089233,0.03631409346693501,1.991544438757963,0.0
4.823881387710571,0.04494413538015598,2.0975778196196795,0.0
4.8293256759643555,0.05388497877728924,2.1617009890533825,0.0
4.834287405014038,0.06296883641317319,2.186124716492957,0.0
4.838774919509888,0.07204226206265044,2.1746960772382775,0.0
4.843541622161865,0.0809688797178982,2.1315885679751516,0.0
4.8482654094696045,0.08962804198659385,2.06043801949442,0.0
4.852681398391724,0.09791539763491708,1.965239842623093,0.0
4.857393980026245,0.10574366287086387,1.850117781981138,0.0
4.862112998962402,0.1130403096660749,1.7184164572904894,0.0
4.866533517837524,0.11974678785216876,1.5734914837348999,0.0
4.871247291564941,0.1258183936458696,1.4186544435865778,0.0
4.876288890838623,0.13122153931357364,1.2563605478646964,0.0
4.880603790283203,0.13593190959782517,1.0887602021275506,0.0
4.88505744934082,0.1399361604415313,0.9186482653133762,0.0
4.88982629776001,0.1432293188963065,0.7477755050930182,0.0
4.894469976425171,0.14581259617419606,0.5775395844134669,0.0
4.898789405822754,0.14769366794143868,0.4095449084470998,0.0
4.903554677963257,0.14888688388101823,0.24539427829075694,0.0
4.9096150398254395,0.14941077208106657,0.08589249982079077,0.0
4.913996458053589,0.14928473184134847,-0.06894884885760576,0.0
4.918353796005249,0.1485358996835663,-0.2166567583544911,0.0
4.923116207122803,0.14719682912443652,-0.3563206482822838,0.0
4.927860975265503,0.14530249022901515,-0.48747074181736905,0.0
4.932206392288208,0.14289074202746105,-0.6093388057003004,0.0
4.936891317367554,0.14000340805463055,-0.7209118982983795,0.0
4.9419920444488525,0.1366842603830357,-0.8219046462880544,0.0
4.946624040603638,0.13297783322047868,-0.9121687983728924,0.0
4.951048135757446,0.1289314254124391,-0.9908688843386745,0.0
4.955779552459717,0.1245947348772411,-1.057516494353911,0.0
4.960745573043823,0.12001771105112213,-1.1121952534158814,0.0
4.965283155441284,0.11524981397580025,-1.1550347450086405,0.0
4.9696173667907715,0.11034143187090774,-1.1856949828274126,0.0
4.9746692180633545,0.10534326566894356,-1.2041903827201115,0.0
4.979282379150391,0.10030289873401994,-1.2115155741575196,0.0
4.983675956726074,0.09526671351832723,-1.20772274806849,0.0
4.9885783195495605,0.09027977623007404,-1.1932165284586587,0.0
4.993280410766602,0.08538294689828552,-1.1692090836163282,0.0
